,Embedded_text,majority_sentiment
13,"Unser #Robert rockt #Wacken.  @Die_Gruenen Julius Betschka @JuliusBetschka  · 28. Juli 2021 Wacken, Sonntag, 15.30 Uhr, Gig im ""Wackinger Village"" Diesen Thread anzeigen 10 11 305",1
15,"„Entscheidend ist, dass wir das ausstrahlen, was die Bürgerinnen und Bürger von uns erwarten, nämlich einen würdigen Umgang mit der Verantwortung, die sie uns übertragen haben.“  @MarcoBuschmann   #Bundestag 0:36 5.576 Mal angezeigt 27 21 174",3
16,"Seit Monaten lockt der Diktator #Lukaschenko Menschen unter falschen Voraussetzungen nach #Belarus, bringt sie dann an die polnische Grenze und versucht, die EU durch Druck zu erpressen. ""Auf diese Erpressungsversuche dürfen wir nicht eingehen"", fordert Mathias #Middelberg. 7 4 22",2
17,". @Tino_Chrupalla  reist auf Einladung der  #Regierung nach #Moskau: ""Die Einladung der russischen Regierung zeigt, dass unsere Bemühungen um einen Neustart der Beziehungen auf fruchtbaren Boden gefallen sind."" #AfD #Russland #Wirtschaft afdbundestag.de Stellvertretender Fraktionsvorsitzender Tino Chrupalla reist nach Moskau Berlin, 18. Juni 2021. Der stellvertretende Vorsitzende der AfD-Fraktion im Deutschen Bundestag, Tino Chrupalla, reist am Sonntag (20.06.) auf Einladung der russischen Regierung nach Moskau. Chrupa... 103 120 476",1
18,"Das beruhigt mich, dass sich viele in #SachsenAnhalt wohl gegen #Rechtsaussen und für die #Demokratie entschieden haben. Das ist ein gutes Zeichen. #ltwsa21 ZDFheute @ZDFheute  · 6. Juni 2021 Sachsen-Anhalt hat gewählt. Das ist die Prognose um 18 Uhr:   #ltwsa21 #SachsenAnhalt 31 9 132",1
19,"Kleiner Tipp,  @soerenbartol : Wenn SPD, Grüne und Linke ziemlich vorhersehbar und damit fast willentlich gegen das Grundgesetz verstoßen, sind nicht die Kläger schuld. Denkt mal drüber nach, bevor ihr Mieterinnen und Mieter das nächste Mal ins offene Messer laufen lasst. SPD-Fraktion im Bundestag @spdbt  · 15. Apr. 2021 „Es ist kein Geheimnis, dass den Klägern aus Reihen der CDU und FDP die Sorgen von Mieterinnen und Mietern vollkommen egal sind. Im Gegenteil: Sie sind die Anwälte der Immobilienlobby im Deutschen Bundestag"", kommentiert @soerenbartol das #BVerfG-Urteil zum #Mietendeckel. Diesen Thread anzeigen 9 25 291",2
20,"Ali oder Defne, Leyla oder Mehmet gehören zum modernen Deutschland. #Antisemitismus - ob importiert oder hier gewachsen - tut es nie. Strukturen, die ihn begünstigen, müssen wir benennen und bekämpfen. Egal ob es die neue Rechte oder der politische Islamismus ist. 26 17 236",2
22,"„Wir brauchen JETZT schnelle Lösungen für die Beschleunigung der #Impfkampagne. Deutschland hat ein enormes Forschungspotenzial. Dieses Know-how müssen wir entfesseln"", fordert  @cad59 . Unsere Ideen für mehr Medikamente gegen #Corona  https://dip21.bundestag.de/dip21/btd/19/284/1928434.pdf…. 4 6 58",1
23,"#Kretschmann hat den Schleier gelüftet. Was die Bürger mit den #Grünen in der #Bundesregierung erwartet, hat diktatorische Ansätze. Ein Ministerpräsident, der unsere Demokratie praktisch abschaffen will, ist für dieses Amt zudem völlig ungeeignet & muss sofort zurücktreten! #AfD 232 728 2.675",2
25,"Na klar! In dieser #Sitzungswoche stehen viele wichtige Punkte auf der Agenda, z.B. neue Spielregeln für #Digitalkonzerne, #Bioökonomie und der Kampf gegen Hass im #Netz. Und der Bundesgesundheitsminister gibt eine Regierungserklärung ab. Mehr dazu hier: https://cducsu.de/themen/neue-spielregeln-fuer-digitalkonzerne-biooekonomie-und-der-kampf-gegen-hass-im-netz… 15 15 27",3
27,"""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. https://youtu.be/PQ9erzAHS5k via  @YouTube youtube.com ""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. In Folge zwei der Serie „Joachim Paul trifft…“ nimmt der ehemalige Vorsitzender des Wirecard-Untersuchungsausschusses, Kay Gottschalk (MdB) Stellung zum Wire... 2 15 39",3
28,"AfD kündigt juristische Schritte gegen ""Tagesschau"" an dwdl.de AfD kündigt juristische Schritte gegen ""Tagesschau"" an - DWDL.de Die AfD wirft der ""Tagesschau"" irreführende Berichterstattung und Verletzung der journalistischen Sorgfaltspflicht vor, weil es dort hieß, die AfD habe dem Fluthilfe-Fonds nicht zugestimmt. Tatsäch... 17 106 496",2
30,"Bilanz des #Afghanistan -Kriegs: rund 240.000 Tote (zumeist Zivilisten), 5,5 Millionen Vertriebene, ungesühnte Kriegsverbrechen, Herrschaft der Taliban und 59 tote #Bundeswehr -Soldaten. Was gibt es da zu feiern mit diesem militaristischen Mummenschanz? #Zapfenstreich #Zapfnix 66 78 282",2
31,Die Gewalt gegen Frauen hat während der Pandemie zugenommen. Beratungsstellen+Frauenhäuser sind unverzichtbar. Heute habe ich mich in Bad Hersfeld über deren Arbeit informiert. Wir haben im Bund ein Förderprogramm aufgelegt. Aber es muss noch mehr getan werden. 2 2 35,2
32,Die #AfD ist eine Partei der Niedertracht. Das musste in der heutigen Rede einfach mal raus  22 14 80,2
33,"Die Situation ist immer noch die gleiche wie 2015: Es existiert eine Herrschaft des Unrechts (Seehofer). Tausende Migranten kommen ungehindert und unkontrolliert über offene Grenzen ins Land. Eine untragbare Situation!  #AfD tagesspiegel.de 4300 Migranten kamen seit August über die Belarus-Route nach Deutschland Eine neue Fluchtroute aus Syrien, dem Irak oder dem Jemen nach Deutschland ist entstanden. Brandenburger Ankunftszentren erweitern die Kapazität mit Zelten. 17 103 264",2
34,"„Darüber reden wir nicht nur wie die Merzens und die Lindners, wir machen es!“ Großartige Rede unseres Ministerpräsidenten Winfried #Kretschmann zu Digitalisierung, Innovation & Klimaschutz auf dem grünen #Wahlparteitag. #Bundestagswahl21 13 32 281",1
35,"Herzlichen Gruß aus Berlin und alles Gute für die neue Kollegin Katrin Fedrowitz. Martin Habersaat @martinhabersaat  · 27. Okt. 2021 Einen zauberhaften guten Morgen aus Kiel. Landtag 1/3. Es geht u.a. um biologische Vielfalt, den Landesentwicklungplan und die Zukunft der #Krankenhausplanung in Schleswig-Holstein. Für @Ralf_Stegner rückte Katrin Fedrowitz nach. Willkommen! 6 1 14",1
37,"Manche verweisen auf polit. Achterbahnprinzip  (zu Guttenberg, Wulf, Schulz,Habeck, Spahn, Söder…)oder werfen   @diegruenen  Wehleidigkeit bei  @ABaerbock  vor. Andere argumentieren mit Fehlern der Konkurrenz. Insgesamt wäre es besser,Programme+ Kanzlertauglichkeit zu vergleichen. 37 3 17",2
40,"Khalid kommt aus Syrien, lebt seit eineinhalb Jahren in #Karatepe und ist auf einen Rollstuhl angewiesen. Es gibt im Camp fast nur Schotterwege und nur wenige Behindertentoiletten, wenn er zur Toilette muss, muss er zwei Menschen fragen, ob sie helfen können. #lesbos #linke 12 28 139",2
41,"Kann die Wut, das Unverständnis & die Müdigkeit von allen verstehen, die sich seit fast 2 Jahren zamreißen. Schutzmaßnahmen wurden von Söder-Regierung erneut nicht rechtzeitig ergriffen: Impfzentren wurden runtergefahren, Schulen nicht gut ausgestattet  & Impfquote ist miserabel. 21 25 180",2
42,"Laschets Maaßen-Problem : Am Ende der Ära Merkel driftet die CDU auseinander - Politik - Tagesspiegel tagesspiegel.de Am Ende der Ära Merkel driftet die CDU auseinander Umfragen im Keller, Differenzen mit der Basis in Thüringen. Das Comeback des Ex-Verfassungsschutzchefs Maaßen zeigt auch Autoritätsprobleme des CDU-Chefs. 25 2 13",2
44,"„Wir müssen überall da besser werden, wo wir sehen, dass etwas nicht funktioniert hat“, sagt  @ArminLaschet  gegenüber der  @AZ_Augsburg . #Modernisierungsjahrzehnt  Das ganze Interview gibt es hier:  https://t1p.de/7xxt 156 42 115",3
45,"Vor 4 Jahren hat die NRW-Koalition den Politikwechsel eingeleitet. Seitdem modernisieren wir das Land. Damit ist #NRW Vorbild. Werden hier weiter konzentriert zusammenarbeiten - und auch auf Bundesebene werben wir dafür, dass wir als #FDP eine Politik der Erneuerung mitgestalten! 45 31 178",1
46,"Kein Schulessen, kaum Job-Chance, geschlossene Hilfsangebote - Corona ist für #Hartz4-Familien existenzbedrohend. Union + SPD müssen Vorwahlkampf hinten anstellen und heute für verlässlichen ausreichenden Krisenaufschlag sorgen. Die finanziellen Spielräume dafür haben wir. 65 51 361",2
47, Jetzt LIVE - Pressestatement zu den Ergebnissen der Vorsondierungen mit CSU-Chef  @Markus_Soeder .  Hier geht‘s zum Stream: youtube.com Pressestatement des Parteivorsitzenden Markus Söder 3 3 15,3
49,"Allerdings wird es kaum eine politische Schonfrist geben, allzu drängend sind die politischen Herausforderungen und Krisen: Corona-Pandemie, Klimawandel, Digitalisierung, demografische Entwicklung, internationale Krisenherde und Globalisierung…. 6 1 7",2
50,"Herzlichen Glückwunsch, Mr. President!  @JoeBiden Es liegen große Aufgaben vor Ihnen. Sie werden das Land wieder einen. Sie werden das Verbindende in den Vordergrund stellen und ihr Amt mit Anstand, Würde, Heilung und Liebe ausüben.  #InaugurationDay  https://cdu.de/artikel/biden-werde-praesident-aller-amerikaner-sein… 59 36 299",1
52,"Ein wichtiger Schritt. Kritik im Netz ist richtig und notwendig, auch in jeder Schärfe. Aber Aufrufe zur Gewalt, Drohungen, Antisemitismus und Hassbotschaften müssen gesperrt werden. Sie haben für die Betroffenen unmittelbare Konsequenzen und sind keine Kavaliersdelikte. DieInsider @Die_Insider  · 8. Juni Antisemit Hildmann auf Telegram gesperrt!   #Ausgehetzt #WirGegenHass #DieInsider @Volksverpetzer   https://volksverpetzer.de/social-media/antisemit-hildmann-telegram/… Diesen Thread anzeigen 112 152 3.667",2
53,"Austritt aus der #IstanbulKonvention, Beantragung des HDP-Verbots: Der türkische Präsident Erdogan setzt seinen anti-demokratischen Kurs fort.  Deshalb haben wir eine #AktuelleStunde zur Menschenrechtslage in der Türkei beantragt. @BriHasselmann  dazu: gruene-bundestag.de Grüne beantragen Aktuelle Stunde zur Menschenrechtslage in der Türkei Der türkische Präsident Erdogan setzt seinen anti-demokratischen Kurs fort. Mit der Beantragung des HDP-Verbots durch die von Erdogan gelenkte Justiz sowie dem Austritt aus der Istanbul-Konvention... 16 25 108",2
54,"Entscheidung, Astra Zenica Impfungen auszusetzen begegnet fachlicher Kritik, verschärft darüber hinaus Debakel um Impfstoffe+Teststrategie in Deutschland, wo Inzidenzraten mit mutiertem Coronavirus wieder gefährlich ansteigen. Kommunikatives Desaster für zuständigen  @jensspahn 26 5 41",2
55,"„Gute Nacht“ Klar, wird ne richtig gute Nacht... #Tatort 1 5",1
56,"Zu unseren Ständen kommen verzweifelte Menschen. Sie wollen sich nicht #impfen lassen & werden jetzt gebrandmarkt & drangsaliert. Von Arbeitgebern,Freunden & vom Staat. Das Vertrauen in Recht & Freiheit ist nachhaltig zerstört. Wir sind ihre letzte parlamentarische Hoffnung! #AfD 93 300 1.099",2
57,Das Chaos das die aktuelle Regierung hinterlässt ist unfassbar. https://welt.de/politik/deutschland/plus235442252/Fakten-zu-Inzidenzen-und-Patienten-Pandemie-der-Unwissenheit.html?cid=socialmedia.twitter.shared.web… via  @welt welt.de Fakten zu Inzidenzen und Patienten: Pandemie der Unwissenheit? - WELT Bundesländer hantieren bei der Ausweisung der Inzidenzen von Ungeimpften mit unbrauchbaren Zahlen. Bei der Lage auf Intensivstationen herrscht derweil weiter viel Unklarheit. 10 7 72,2
58,"Ich fahre jetzt los zum Wahlkampfauftakt der  @dielinkelsa . Mit dabei ab 18:00 Uhr sind heute unter anderen  @Eva0112 ,  @bodoramelow ,  @SuzaKarawanskij ,  @KristinaVogt_HB  und  @StefGeb . Ihr hingegen müsst Euch kein Stück bewegen! Live auf http://youtu.be/lm5yyJcAVzU und Facebook. youtube.com Digitaler Wahlkampfauftakt DIE LINKE. Sachsen-Anhalt Digitaler Wahlkampfauftakt der Partei DIE LINKE. Sachsen-Anhalt zur Landtagswahl in Sachsen-Anhalt am 6. Juni 2021Mit Spitzenkandidatin Eva von Angern (MdL),... 2 2 24",3
59,"Bei der Bundestagswahl geht es um Grün gegen Schwarz. Oder auch; um Veränderung, damit wir auch in Zukunft gut leben können versus dem Festhalten an alten Strukturen. https://fr.de/politik/wir-wollen-die-union-schlagen-90194815.html… 23 31 152",3
60,"Die Bundesregierung hat in dieser Legislaturperiode mehr als eine Milliarde Euro für externe Berater verbraten. ""Eine verheerende Bilanz"", sagt  @MatthiasHoehn .  Mehr dazu: https://linksfraktion.de/themen/nachrichten/detail/bundesregierung-gab-mehr-als-eine-milliarde-euro-fuer-berater-aus/… 7 22 66",2
61,"Ich habe sehr, sehr viele Gespräche mit Ostdeutschen geführt über eure Erlebnisse und Erfahrungen, über Scheitern und Neubeginn und das Leben mitten im Umbruch.  Das sind Gespräche, die mich tief berührt haben. Gespräche, die mir nicht mehr aus dem Kopf gehen. #Ostkonvent 7 7 37",3
62,"Nüchterne Entscheidungen unter Einbeziehung der Empfehlungen aus der Wissenschaft sind gefragt. Bundespräsident Frank Steinmeier hat Recht, wenn er die Bürgerinnen und Bürger zu Kontaktreduzierungen aufruft. 23 2 19",3
63,"Soldatinnen & Soldaten im Dauereinsatz. Die  @bundeswehrInfo  leistet wertvolle #Amtshilfe in den #Hochwasser|gebieten. Abgeordnete der Unionsfraktion sind tief beeindruckt vom Einsatz der Truppe. Mehr dazu von  @MechthildHeil ,  @vtdgsprecher  &  @JoWadephul ! cducsu.de „Wir bauen die Heimat wieder auf“ Bundeswehr leistet Amtshilfe in den Hochwassergebieten Unionsfraktion zeigt sich tief beeindruckt vom Einsatz der Truppe Lagebilder aus der Luft und mobile Brück... 16 14 64",1
65,Die gute Nachricht am Abend: die Soziale Marktwirtschaft war in den letzten 25 Jahren noch nie so beliebt wie heute. #FAS 19 5 51,1
67,Liberale - Vorkämpfer der Zukunft since 1848!  Ulf Poschardt @ulfposh  · 3. Jan. 2021 morgen in der @welt - ein Grundsatzreferat von ⁦@KonstantinKuhle⁩ und ⁦@johannesvogel⁩ ⁦@fdp⁩ ⁦@FDP_Fraktion⁩ 7 11 117,3
69,"hallo  @BAMF_Dialog , wie kann man beim Bamf/Eisenhüttenstadt/Frankfurt-Oder jmdn telefonisch erreichen? In meinem Wahlkreis hat ein 10 Monate altes Kind eine ""Ladung zum persönlichen Gespräch im Dublin Verfahren"" für den 5.10. erhalten. Ich habe Fragen. Ans Tel. geht keiner. 5 35 131",3
70,"Seit Monaten gehen die Menschen in #Belarus für Demokratie, Freiheit und faire Wahlen auf die Straße. Wir stehen an ihrer Seite! #Stuttgart #freeBelarus 50 77 609",1
71,"Heiko Maas ist in DE nicht einmal Mitglied des Klimakabinetts. Das zeigt doch, wie stiefmütterlich das Thema #Klima-Außenpolitik in der BReg nach wie vor behandelt wird. Und wie dringlich es ist, dass wir dies nach der #Bundestagswahl2021 ändern. stimme.de Kerry sucht Verbündete im Kampf für das Klima Der US-Klimaschutzbeauftragte John Kerry hat in Berlin zahlreiche Spitzenpolitiker getroffen. Inhalt der Gespräche war auch die Vorbereitung der Weltklimakonferenz COP26 im November in Glasgow. 2 4 31",2
72,Nach der Wahl… m.focus.de Inflation in Deutschland auf höchstem Stand seit 1993 Verbraucher bekommen die anziehende Teuerung immer stärker zu spüren. Die Inflationsrate überschritt im September die Marke von vier Prozent. Droht eine langanhaltende Preisspirale? 44 24 103,2
73,"Die Attacke des wegen millionenschwerer Steuerhinterziehung vorbestraften Uli Hoeneß gegen  @dielinke  zeigt, dass er weiß, dass die #Vermögensteuer nur mit der LINKEN kommt, bei SPD und Grünen ist er eher sicher, dass sie nicht kommt.  @RTLde  #MachtdasLandgerecht #btw21 21 71 408",3
74,"Diese Frage an  @jensspahn  haben viele und ich habe keinen Zweifel daran, dass irgendwann die Antwort ans Tageslicht kommt. Besser wäre jedoch, wenn man sowas nicht ständig erstreiten müsste, sondern derlei Daten grundsätzlich transparent sein müssen. #spenden #transparenz Florian Hacke @monstre78  · 1. Juli 2021 Auch eine Frage an Jens Spahn  1:11 38.341 Mal angezeigt 3 19 63",2
75,1:0 Kinsombi #nurderHSV 4,3
76,"„Wir wollen progressive Politik machen und ich bin zuversichtlich, dass wir eine entsprechende Regierung bilden können“, schließt  @NowaboFM  sein Interview bei RTL. Unter einem Bundeskanzler  @OlafScholz  wollen wir jetzt unser Zukunftsprogramm umsetzen. 2 11 81",1
79,"Auch den Menschen, die aus gesundheitlichen Gründen nicht geimpft werden können, sind wir verpflichtet. Neben einer EU-#Impfstrategie brauchen wir deshalb auch eine EU-#Therapiestrategie, um rasch Behandlungen und Arzneimittel zu entwickeln. #COVID19 #EU 4 8",3
80,Der Bundestag hat am Donnerstag die neue #Treibhausgas-Minderungsquote für den Verkehrsbereich beschlossen. Dazu ein Kurzinterview mit Oliver #Grundmann über #CO2-Einsparungen im Verkehr und die Zukunft des Verbrenners. #JetztZukunft cducsu.de Grundmann zu CO2-Einsparungen im Verkehr: „Es geht auch ohne Verbote“ Der Bundestag hat die neue Treibhausgas-Minderungsquote für den Verkehrsbereich beschlossen. Im Kurzinterview dazu der für das Thema zuständige Berichterstatter der CDU/CSU-Bundesta... 9 6 20,3
81,"Wir haben diese Woche unsere Sprecherinnen und Sprecher festgelegt - die wir Euch hier nach und nach vorstellen wollen.  Heute: Die Themen des AK2 - Wirtschaft, Klima, Arbeit und Soziales  23 16 76",3
82,"Bis zum heutigen #Steuerzahlergedenktag haben die freien Bürger finanziell nur für den Staat geknechtet. Dafür, dass die Kartellparteien das Geld dann meist für Irrsinnsprojekte zum Fenster rauswerfen. Daher das Geld lieber beim Bürger lassen. #CDUbeutetmitaus #FDPverhindertnix 53 186 770",2
83,"Regierungserklärung von Herrn Spahn im Bundestag zeigt, dass Frage zu Impfstoffmengen mehr als berechtigt sind und sich (außer bei Rechtsradikalen)keineswegs gegen gemeinsame europäische Beschaffung richten. Infektionsgeschehen+ bedrückende Todeszahlen verlangen rasche Abhilfe! 8 2 7",2
84,„Und WDR-Intendant Tom Buhrow (62)? Er ist auf Tauchstation“ #GEZabschaffen   Flut-Katastrophe: Warn-Versager schieben sich gegenseitig die Schuld zu bild.de Flut-Katastrophe: Warn-Versager schieben sich gegenseitig die Schuld zu Im Streit um das Warn-Versagen vor der Todesflut fliegen jetzt zwischen den Verantwortlichen die Fetzen. 1 46 134,2
85,"Es muss jetzt darum gehen, im konstruktiven Miteinander von Bund, Ländern und Kommunen die gefährliche dritte Infektionswelle zu überwinden und zeitnah aus der immensen Krise zu kommen. Dazu bedarf es auch der (bedrohlich schwindenden) Akzeptanz der Bevölkerung. 69 3 10",2
86,"Das Buch von  @igorpianist  wird spannend. Seine Wohnungskonzerte haben so vielen über die dunklen Stunden des Lockdowns geholfen. Bin sehr gespannt auf das Buch. Igor Levit @igorpianist  · 25. Nov. 2020 Im Frühling erscheint dieses Buch. @zinnecker und ich haben...ach, Ihr werdet es selbst lesen. Ich freue mich! 6 23 288",1
87,"Presseinfo @PeterWeissMdB : Positive Dynamik am Arbeitsmarkt setzt sich fort cducsu.de Positive Dynamik am Arbeitsmarkt setzt sich fort Zu den heute von der Bundesagentur für Arbeit für den Monat August 2021 bekannt gegebenen Arbeitsmarktdaten, erklärt der arbeitsmarkt- und sozialpolitische Sprecher der CDU/CSU-Bundestagsfrak... 7 2 7",1
88,"Irgendwann wird die Ampel auch über das reden müssen, was sie trennt u dann wird wohl klar: weder Mindestlohn- noch Steuererhöhungen werden kommen, Hartz4 Sanktionen bleiben, die Klimapolitik wird aus Mrd Subventionen für d Industrie bestehen, soziale Gerechtigkeit kommt nicht. phoenix @phoenix_de  · 6. Okt. 2021 Das Land kann sich keine lange Hängepartie leisten! Bei den #SondierungsGesprächen habe man über Gemeinsamkeiten und nicht über Trennendes geredet, sagt @abaerbock. Sie schlägt wegen der Gemeinsamkeiten ein Dreiergespräch zwischen  @diegruenen  @fdp und @spd_de vor. 13 40 130",2
89,"Sicher, klein und billig - China (und nicht Deutschland) baut den ersten Thorium-Reaktor | http://STERN.de stern.de Sicher, klein und billig – China baut den ersten Thorium-Reaktor Er ist nicht größer als ein Badezimmer. In China wird ein Thorium-Reaktor in Betrieb genommen. 2030 soll es zur Serienproduktion kommen – die Mini-Reaktoren versprechen CO2-freien Strom ohne die... 13 37 79",1
90,"Auf die  @Sabine_Baetzing  freue ich mich ganz besonders. Kommt doch mal rüber zu ihr: Instagram, Montag, 18 Uhr! Sabine Bätzing @Sabine_Baetzing  · 8. Jan. 2021 Freue mich am kommenden Montag auf mein #Instalive ""30 Minuten mit @MiRo_SPD ""!  Wird bestimmt ein interessantes Gespräch mit meinem ehemaligen Bundestagskollegen, dem jetzigen Staatsminister für Europa. Seid dabei auf https://instagram.com/sabine_baetzing/… 1 8",1
91,"Gut, dass es auch für 12- bis 17-Jährige die Möglichkeit gibt, sich impfen zu lassen. Die Entscheidung über eine #Impfung von Kindern und Jugendlichen muss aber weiter selbstbestimmt von den Eltern getroffen werden können. Es wäre falsch, hier politischen Druck auszuüben. #STIKO 79 16 242",1
92,Ich halte die Aussage von #Kretschmann für großen Quatsch! Der Verhältnismäßigkeitsgrundsatz gehört zum unveränderlichen Kern des Rechtsstaats. Er unterliegt der sog. Ewigkeitsgarantie und entzieht sich damit einer Änderung des #GG. Hat Herr Kretschmann das nicht verstanden? 82 74 590,2
94,"""Familien stehen ohnehin unter Dauerdruck und Dauerstress, den Alltag zu meistern. [...] Es ist ein Lebenskampf, mit Unvorhergesehenem jeden Tag zurechtzukommen"", sagt  @EskenSaskia  vor der Auftaktklausur der SPD-Fraktion. 6 6 50",2
96,"TV-Tipp: Heute um 22:25 Uhr ist  @c_lindner  zu Gast bei  @maybritillner  im  @zdf .  #illner #VielZuTun #btw21 maybrit illner @maybritillner  · 2. Sep. 2021 Die Gästeliste – #illner heute 22:25 ZDF ""Liberal oder sozial – was sichert Wohlstand für alle?""  Mehr Infos zu Gästen & Thema auf unserer Homepage http://kurz.zdf.de/c9eg/  @gaborsteingart @c_lindner @EskenSaskia @HenrikeRossbach #rotgrünrot #Ample #Scholz #BTW21 #FDP #SPD 3 5 49",3
97,"Aufbruch in diesem Land ist so nötig. 120.000 Mitglieder zählt jetzt  @Die_Gruenen . Danke für das Vertrauen, das Mittun und verändern wollen, sich nicht abfinden mit dem, wie es ist. Wir brauchen wirksamen Klimaschutz und mehr Gerechtigkeit#BereitWeilihrEsSeid Katharina Dröge @katdro  · 23. Aug. 2021 Simone Menne, die erste Finanzchefin eines Dax-Konzerns erklärt im Interview, warum sie @ABaerbock als Kanzlerkandidatin gut findet und bei dieser Wahl  @Die_Gruenen wählt   @SilkeKersting #Baerbock #Wirtschaft #gruene   https://google.de/amp/s/amp2.handelsblatt.com/politik/deutschland/bundestagswahl-2021-mir-macht-der-zustand-unseres-landes-sorgen-multiaufsichtsraetin-menne-fuer-regierungsbeteiligung-der-gruenen/27530426.html… 5 11 117",1
98,"Starker Punkt von  @_FriedrichMerz ! Keine Staatsgläubigkeit, sondern wirtschaftlicher Aufschwung durch Entfesselung und Vertrauen in unsere Wirtschaft. #illner  @maybritillner 0:20 43.291 Mal angezeigt 837 224 1.071",1
99,"Letzter Termin gestern: Treffen mit Ursula  @vonderleyen . Wir kennen uns aus meiner ersten Legislatur, gestern sprachen wir über die Rolle Europas bei Dekarbonisierung, Digitalisierung & gegenüber China. Denn „Europa ist unsere Zukunft – eine andere haben wir nicht“ (Genscher). 9 1 113",3
100,"In Israel gibt es Hinweise, dass BionTech auch gegen Omicron 90% Wirksamkeit habe. Bisher wurden die Daten nicht veröffentlicht. Morgen versuche ich bei ISR Kollegen mehr zu erfahren. jpost.com COVID: First signs that vaccines protect against Omicron So far, Israel has registered four cases infected with the new variant, while general morbidity remains low. 867 1.014 11.571",3
101,"Der Mut der #WeißeRose beeindruckt mich so. Vor 78 Jahren wurden Christoph #Probst, Sophie & Hans #Scholl von den Nazis ermordet. In unserer Demokratie brauchen wir heute nicht so viel Mut, damit Rassisten & Faschisten nie wieder was zu sagen haben. Widersprechen & Wählen hilft. 44 149 1.391",1
