,Embedded_text,majority_sentiment
10,"Guckst Du  @Kreis_Rosenheim Kreis_Rosenheim @Kreis_Rosenheim  · 14. Juli 2021 Ihr wollt wissen, was in Eurer Umgebung los ist? Dann verpasst auf keinen Fall die neue #Event Serie „Places to be“ von „aROund“ – dem Online-Jugendmagazin für Jugendliche im Landkreis #Rosenheim. Mehr Infos? Gibt’s auf http://around-rosenheim.de! 21 2 6",3
11,"Während Coronainfektionen wieder steigen, muss jetzt eine neue Phase des Coronamanagements folgen. Angesichts der Impfquote tritt an die Stelle allgemeiner Zwangsmaßnahmen stärkere Eigenverantwortung. Allerdings müssen gerade Schwächere vor Rücksichtslosigkeit geschützt werden! 19 2 15",3
12,"⁦ @ArminLaschet ⁩ will mit Schmutzwäsche den Umfragefrust vertreiben. In Wirklichkeit unterstreicht das mehr als alles andere die dringliche Oppositionsbedürftigkeit der Union. Justizskandal im Wahlkampf: Laschets autokratische Züge - taz.de Justizskandal im Wahlkampf: Laschets autokratische Züge Um seinen SPD-Konkurrenten Scholz zu beschädigen, missbraucht der Unionskandidat das Ansehen des Rechtsstaats. So jemand sollte nicht Kanzler werden. 26 13 49",2
14,"Ein starkes Land braucht ein starkes #TeamCDU! Wir unterstützen unsere Freunde der  @CDU_BW , deshalb bei der Landtagswahl am 14. März: CDU wählen!  #ltwbw21 40 7 35",1
15,"„Entscheidend ist, dass wir das ausstrahlen, was die Bürgerinnen und Bürger von uns erwarten, nämlich einen würdigen Umgang mit der Verantwortung, die sie uns übertragen haben.“  @MarcoBuschmann   #Bundestag 0:36 5.576 Mal angezeigt 27 21 174",3
16,"Seit Monaten lockt der Diktator #Lukaschenko Menschen unter falschen Voraussetzungen nach #Belarus, bringt sie dann an die polnische Grenze und versucht, die EU durch Druck zu erpressen. ""Auf diese Erpressungsversuche dürfen wir nicht eingehen"", fordert Mathias #Middelberg. 7 4 22",2
18,"Das beruhigt mich, dass sich viele in #SachsenAnhalt wohl gegen #Rechtsaussen und für die #Demokratie entschieden haben. Das ist ein gutes Zeichen. #ltwsa21 ZDFheute @ZDFheute  · 6. Juni 2021 Sachsen-Anhalt hat gewählt. Das ist die Prognose um 18 Uhr:   #ltwsa21 #SachsenAnhalt 31 9 132",1
19,"Kleiner Tipp,  @soerenbartol : Wenn SPD, Grüne und Linke ziemlich vorhersehbar und damit fast willentlich gegen das Grundgesetz verstoßen, sind nicht die Kläger schuld. Denkt mal drüber nach, bevor ihr Mieterinnen und Mieter das nächste Mal ins offene Messer laufen lasst. SPD-Fraktion im Bundestag @spdbt  · 15. Apr. 2021 „Es ist kein Geheimnis, dass den Klägern aus Reihen der CDU und FDP die Sorgen von Mieterinnen und Mietern vollkommen egal sind. Im Gegenteil: Sie sind die Anwälte der Immobilienlobby im Deutschen Bundestag"", kommentiert @soerenbartol das #BVerfG-Urteil zum #Mietendeckel. Diesen Thread anzeigen 9 25 291",2
20,"Ali oder Defne, Leyla oder Mehmet gehören zum modernen Deutschland. #Antisemitismus - ob importiert oder hier gewachsen - tut es nie. Strukturen, die ihn begünstigen, müssen wir benennen und bekämpfen. Egal ob es die neue Rechte oder der politische Islamismus ist. 26 17 236",2
21,"Klare Sprache, klare Analyse was hier gerade passiert im #Wahlkampf.  @sigmargabriel Sigmar Gabriel @sigmargabriel  · 5. Juli 2021 Ich bin bestimmt kein Grünwähler, aber was mit @ABaerbock passiert, zeigt nur, wie armselig der Wahlkampf ist. AB sollte es als „Wertschätzung“ im wörtlichen Sinn nehmen. Sie wird nur auf ihre politische „Schussfestigkeit“ getestet. Mehr ist es nicht. Einfach stehenbleiben.… 1/2 Diesen Thread anzeigen 12 23 206",2
22,"„Wir brauchen JETZT schnelle Lösungen für die Beschleunigung der #Impfkampagne. Deutschland hat ein enormes Forschungspotenzial. Dieses Know-how müssen wir entfesseln"", fordert  @cad59 . Unsere Ideen für mehr Medikamente gegen #Corona  https://dip21.bundestag.de/dip21/btd/19/284/1928434.pdf…. 4 6 58",1
23,"#Kretschmann hat den Schleier gelüftet. Was die Bürger mit den #Grünen in der #Bundesregierung erwartet, hat diktatorische Ansätze. Ein Ministerpräsident, der unsere Demokratie praktisch abschaffen will, ist für dieses Amt zudem völlig ungeeignet & muss sofort zurücktreten! #AfD 232 728 2.675",2
24,"Bis #Gera|de - super Veranstaltung  Alice Weidel, Alexander Gauland, Michael Kaufmann, Jürgen Treutler, Stephan #Brandner & knapp 2.000 Besuchern! Unglaublich…so muß das!  #AfD #nurnochAfD #Thüringen #Deutschlandabernormal #wirholendasDirektmandat #WK194 #Berlin #Bundestag 70 69 283",1
26,13:00 Uhr. Vorstellung des Regierungsprogramms. #guterplan 135 76 172,1
27,"""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. https://youtu.be/PQ9erzAHS5k via  @YouTube youtube.com ""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. In Folge zwei der Serie „Joachim Paul trifft…“ nimmt der ehemalige Vorsitzender des Wirecard-Untersuchungsausschusses, Kay Gottschalk (MdB) Stellung zum Wire... 2 15 39",3
28,"AfD kündigt juristische Schritte gegen ""Tagesschau"" an dwdl.de AfD kündigt juristische Schritte gegen ""Tagesschau"" an - DWDL.de Die AfD wirft der ""Tagesschau"" irreführende Berichterstattung und Verletzung der journalistischen Sorgfaltspflicht vor, weil es dort hieß, die AfD habe dem Fluthilfe-Fonds nicht zugestimmt. Tatsäch... 17 106 496",2
29,Presseinfo  @AndreasLaemmel : Ein funktionierender Internetanschluss gehört zur Daseinsversorge cducsu.de Ein funktionierender Internetanschluss gehört zur Daseinsversorge Am heutigen Donnerstag hat der Deutsche Bundestag abschließend eine umfassende Modernisierung und Überarbeitung des Telekommunikationsgesetzes (TKG) beraten. Dazu können Sie den stellvertrete... 4 2 2,3
30,"Bilanz des #Afghanistan -Kriegs: rund 240.000 Tote (zumeist Zivilisten), 5,5 Millionen Vertriebene, ungesühnte Kriegsverbrechen, Herrschaft der Taliban und 59 tote #Bundeswehr -Soldaten. Was gibt es da zu feiern mit diesem militaristischen Mummenschanz? #Zapfenstreich #Zapfnix 66 78 282",2
31,Die Gewalt gegen Frauen hat während der Pandemie zugenommen. Beratungsstellen+Frauenhäuser sind unverzichtbar. Heute habe ich mich in Bad Hersfeld über deren Arbeit informiert. Wir haben im Bund ein Förderprogramm aufgelegt. Aber es muss noch mehr getan werden. 2 2 35,2
32,Die #AfD ist eine Partei der Niedertracht. Das musste in der heutigen Rede einfach mal raus  22 14 80,2
33,"Die Situation ist immer noch die gleiche wie 2015: Es existiert eine Herrschaft des Unrechts (Seehofer). Tausende Migranten kommen ungehindert und unkontrolliert über offene Grenzen ins Land. Eine untragbare Situation!  #AfD tagesspiegel.de 4300 Migranten kamen seit August über die Belarus-Route nach Deutschland Eine neue Fluchtroute aus Syrien, dem Irak oder dem Jemen nach Deutschland ist entstanden. Brandenburger Ankunftszentren erweitern die Kapazität mit Zelten. 17 103 264",2
34,"„Darüber reden wir nicht nur wie die Merzens und die Lindners, wir machen es!“ Großartige Rede unseres Ministerpräsidenten Winfried #Kretschmann zu Digitalisierung, Innovation & Klimaschutz auf dem grünen #Wahlparteitag. #Bundestagswahl21 13 32 281",1
35,"Herzlichen Gruß aus Berlin und alles Gute für die neue Kollegin Katrin Fedrowitz. Martin Habersaat @martinhabersaat  · 27. Okt. 2021 Einen zauberhaften guten Morgen aus Kiel. Landtag 1/3. Es geht u.a. um biologische Vielfalt, den Landesentwicklungplan und die Zukunft der #Krankenhausplanung in Schleswig-Holstein. Für @Ralf_Stegner rückte Katrin Fedrowitz nach. Willkommen! 6 1 14",1
36,"Die #Pressefreiheit gerät immer stärker unter Druck, von Quernichtdenkern in Deutschland und autoritären Herrschern wie Erdogan, Putin, Orban & Co im Ausland. Freie & kritische Presse ist leider nie selbstverständlich, wir müssen für sie kämpfen! 128 174 1.549",2
37,"Manche verweisen auf polit. Achterbahnprinzip  (zu Guttenberg, Wulf, Schulz,Habeck, Spahn, Söder…)oder werfen   @diegruenen  Wehleidigkeit bei  @ABaerbock  vor. Andere argumentieren mit Fehlern der Konkurrenz. Insgesamt wäre es besser,Programme+ Kanzlertauglichkeit zu vergleichen. 37 3 17",2
38,"REWE führt #Fleischprodukte mit 50 % #Gemüse ein | top agrar online ( #Haltungskennzeichnung ? + der Wettbewerb wird schärfer) topagrar.com REWE führt Fleischprodukte mit 50 % Gemüse ein Rinderhackfleisch und Bratwürste der Marke Wilhelm Brandenburg, wo nur noch die Hälfte Fleisch drin ist, gibt es jetzt bei Rewe. Bei den Wurstwaren will der Händler auch bald nachlegen. 17 8 45",3
39,"Der Einzige, der keine Buhrufe abbekommt, ist Klaus Lederer (Linke). „Stinksauer“ sei er über das „Union Busting“ und die „Verarsche“ seitens der Vivantes-Klinikleitung, erklärt er. „Wir sind der Eigentümer, verdammte Scheiße!“, ruft Lederer ins Mikrofon. taz.de Arbeitskampf des Klinikpersonals: Vivantes bestreikt Rot-Rot-Grün Der verkorkste Beginn der Streiks bei den landeseigenen Kliniken zeigt: Auf Berlin kommt wohl ein mit allen Mitteln geführter Arbeitskampf zu. 3 23 72",2
40,"Khalid kommt aus Syrien, lebt seit eineinhalb Jahren in #Karatepe und ist auf einen Rollstuhl angewiesen. Es gibt im Camp fast nur Schotterwege und nur wenige Behindertentoiletten, wenn er zur Toilette muss, muss er zwei Menschen fragen, ob sie helfen können. #lesbos #linke 12 28 139",2
41,"Kann die Wut, das Unverständnis & die Müdigkeit von allen verstehen, die sich seit fast 2 Jahren zamreißen. Schutzmaßnahmen wurden von Söder-Regierung erneut nicht rechtzeitig ergriffen: Impfzentren wurden runtergefahren, Schulen nicht gut ausgestattet  & Impfquote ist miserabel. 21 25 180",2
43,"Heute vor 20 Jahren las ich zu allererst auf  @spiegelonline , dass ein Flugzeug in the #TwinTowers in #NewYork geflogen war. Danach stand ich stundenlang fassungslos und mit wachsenden Entsetzen vor dem Radio, später vor einem Fernseher irgendwo in Köln. #11september2001 3 7 95",2
44,"„Wir müssen überall da besser werden, wo wir sehen, dass etwas nicht funktioniert hat“, sagt  @ArminLaschet  gegenüber der  @AZ_Augsburg . #Modernisierungsjahrzehnt  Das ganze Interview gibt es hier:  https://t1p.de/7xxt 156 42 115",3
45,"Vor 4 Jahren hat die NRW-Koalition den Politikwechsel eingeleitet. Seitdem modernisieren wir das Land. Damit ist #NRW Vorbild. Werden hier weiter konzentriert zusammenarbeiten - und auch auf Bundesebene werben wir dafür, dass wir als #FDP eine Politik der Erneuerung mitgestalten! 45 31 178",1
48," Morgen, Samstag, 24. April 2021 Infostand in Gera  Wir freuen uns! #AfD #wirholendasDirektmandat #Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner 37 35 123",1
49,"Allerdings wird es kaum eine politische Schonfrist geben, allzu drängend sind die politischen Herausforderungen und Krisen: Corona-Pandemie, Klimawandel, Digitalisierung, demografische Entwicklung, internationale Krisenherde und Globalisierung…. 6 1 7",2
50,"Herzlichen Glückwunsch, Mr. President!  @JoeBiden Es liegen große Aufgaben vor Ihnen. Sie werden das Land wieder einen. Sie werden das Verbindende in den Vordergrund stellen und ihr Amt mit Anstand, Würde, Heilung und Liebe ausüben.  #InaugurationDay  https://cdu.de/artikel/biden-werde-praesident-aller-amerikaner-sein… 59 36 299",1
51,Die Ergebnisse unser  @csu_bt -Klausurtagung gibt es unter http://richtung21.de #RICHTUNG21 richtung21.de Richtung 21 Startseite - Richtung21 9 5 6,3
52,"Ein wichtiger Schritt. Kritik im Netz ist richtig und notwendig, auch in jeder Schärfe. Aber Aufrufe zur Gewalt, Drohungen, Antisemitismus und Hassbotschaften müssen gesperrt werden. Sie haben für die Betroffenen unmittelbare Konsequenzen und sind keine Kavaliersdelikte. DieInsider @Die_Insider  · 8. Juni Antisemit Hildmann auf Telegram gesperrt!   #Ausgehetzt #WirGegenHass #DieInsider @Volksverpetzer   https://volksverpetzer.de/social-media/antisemit-hildmann-telegram/… Diesen Thread anzeigen 112 152 3.667",2
53,"Austritt aus der #IstanbulKonvention, Beantragung des HDP-Verbots: Der türkische Präsident Erdogan setzt seinen anti-demokratischen Kurs fort.  Deshalb haben wir eine #AktuelleStunde zur Menschenrechtslage in der Türkei beantragt. @BriHasselmann  dazu: gruene-bundestag.de Grüne beantragen Aktuelle Stunde zur Menschenrechtslage in der Türkei Der türkische Präsident Erdogan setzt seinen anti-demokratischen Kurs fort. Mit der Beantragung des HDP-Verbots durch die von Erdogan gelenkte Justiz sowie dem Austritt aus der Istanbul-Konvention... 16 25 108",2
54,"Entscheidung, Astra Zenica Impfungen auszusetzen begegnet fachlicher Kritik, verschärft darüber hinaus Debakel um Impfstoffe+Teststrategie in Deutschland, wo Inzidenzraten mit mutiertem Coronavirus wieder gefährlich ansteigen. Kommunikatives Desaster für zuständigen  @jensspahn 26 5 41",2
55,"„Gute Nacht“ Klar, wird ne richtig gute Nacht... #Tatort 1 5",1
56,"Zu unseren Ständen kommen verzweifelte Menschen. Sie wollen sich nicht #impfen lassen & werden jetzt gebrandmarkt & drangsaliert. Von Arbeitgebern,Freunden & vom Staat. Das Vertrauen in Recht & Freiheit ist nachhaltig zerstört. Wir sind ihre letzte parlamentarische Hoffnung! #AfD 93 300 1.099",2
58,"Ich fahre jetzt los zum Wahlkampfauftakt der  @dielinkelsa . Mit dabei ab 18:00 Uhr sind heute unter anderen  @Eva0112 ,  @bodoramelow ,  @SuzaKarawanskij ,  @KristinaVogt_HB  und  @StefGeb . Ihr hingegen müsst Euch kein Stück bewegen! Live auf http://youtu.be/lm5yyJcAVzU und Facebook. youtube.com Digitaler Wahlkampfauftakt DIE LINKE. Sachsen-Anhalt Digitaler Wahlkampfauftakt der Partei DIE LINKE. Sachsen-Anhalt zur Landtagswahl in Sachsen-Anhalt am 6. Juni 2021Mit Spitzenkandidatin Eva von Angern (MdL),... 2 2 24",3
60,"Die Bundesregierung hat in dieser Legislaturperiode mehr als eine Milliarde Euro für externe Berater verbraten. ""Eine verheerende Bilanz"", sagt  @MatthiasHoehn .  Mehr dazu: https://linksfraktion.de/themen/nachrichten/detail/bundesregierung-gab-mehr-als-eine-milliarde-euro-fuer-berater-aus/… 7 22 66",2
61,"Ich habe sehr, sehr viele Gespräche mit Ostdeutschen geführt über eure Erlebnisse und Erfahrungen, über Scheitern und Neubeginn und das Leben mitten im Umbruch.  Das sind Gespräche, die mich tief berührt haben. Gespräche, die mir nicht mehr aus dem Kopf gehen. #Ostkonvent 7 7 37",3
63,"Soldatinnen & Soldaten im Dauereinsatz. Die  @bundeswehrInfo  leistet wertvolle #Amtshilfe in den #Hochwasser|gebieten. Abgeordnete der Unionsfraktion sind tief beeindruckt vom Einsatz der Truppe. Mehr dazu von  @MechthildHeil ,  @vtdgsprecher  &  @JoWadephul ! cducsu.de „Wir bauen die Heimat wieder auf“ Bundeswehr leistet Amtshilfe in den Hochwassergebieten Unionsfraktion zeigt sich tief beeindruckt vom Einsatz der Truppe Lagebilder aus der Luft und mobile Brück... 16 14 64",1
64,"⁦. @samelou ⁩ liegt nicht falsch. Unentwegt wird über Folgen des Lockdowns für Kinder gesprochen. Trotzdem sind Antigentests für sie noch nicht angeschafft, man will es ohne versuchen. Auch Luftfilteranlagen wurden nie beschafft, aber für den Landtag spiegel.de Politische Kommunikation in der Pandemie: Die opportune Rotfärberei von Laschet und Co. - Kolumne... Wie geht es den Kindern? Wie können wir Menschen mit Depressionen helfen? Politiker zeigen in der Krise ihre soziale Seite – leider vor allem deshalb, weil es gerade opportun ist. 161 439 2.544",2
65,Die gute Nachricht am Abend: die Soziale Marktwirtschaft war in den letzten 25 Jahren noch nie so beliebt wie heute. #FAS 19 5 51,1
66,Als erste Verbraucherministerin habe ich vor 20 Jahren den Verbraucherschutz endlich auf die politische Agenda gesetzt. Lest hier mehr: /TK gruene-bundestag.de Verbraucherschutz Verbesserungen beim Verbraucherschutz wünschen sich vier von fünf Wahlberechtigten in Deutschland. Zu diesem Ergebnis kam eine Umfrage im Auftrag der Verbraucherzentralen. Wir Grüne im Bundestag... 4 3 61,1
67,Liberale - Vorkämpfer der Zukunft since 1848!  Ulf Poschardt @ulfposh  · 3. Jan. 2021 morgen in der @welt - ein Grundsatzreferat von ⁦@KonstantinKuhle⁩ und ⁦@johannesvogel⁩ ⁦@fdp⁩ ⁦@FDP_Fraktion⁩ 7 11 117,3
68,Die CDU ist die Partei der sozialen Kälte. #Triell 23 89 1.651,2
69,"hallo  @BAMF_Dialog , wie kann man beim Bamf/Eisenhüttenstadt/Frankfurt-Oder jmdn telefonisch erreichen? In meinem Wahlkreis hat ein 10 Monate altes Kind eine ""Ladung zum persönlichen Gespräch im Dublin Verfahren"" für den 5.10. erhalten. Ich habe Fragen. Ans Tel. geht keiner. 5 35 131",3
70,"Seit Monaten gehen die Menschen in #Belarus für Demokratie, Freiheit und faire Wahlen auf die Straße. Wir stehen an ihrer Seite! #Stuttgart #freeBelarus 50 77 609",1
71,"Heiko Maas ist in DE nicht einmal Mitglied des Klimakabinetts. Das zeigt doch, wie stiefmütterlich das Thema #Klima-Außenpolitik in der BReg nach wie vor behandelt wird. Und wie dringlich es ist, dass wir dies nach der #Bundestagswahl2021 ändern. stimme.de Kerry sucht Verbündete im Kampf für das Klima Der US-Klimaschutzbeauftragte John Kerry hat in Berlin zahlreiche Spitzenpolitiker getroffen. Inhalt der Gespräche war auch die Vorbereitung der Weltklimakonferenz COP26 im November in Glasgow. 2 4 31",2
72,Nach der Wahl… m.focus.de Inflation in Deutschland auf höchstem Stand seit 1993 Verbraucher bekommen die anziehende Teuerung immer stärker zu spüren. Die Inflationsrate überschritt im September die Marke von vier Prozent. Droht eine langanhaltende Preisspirale? 44 24 103,2
73,"Die Attacke des wegen millionenschwerer Steuerhinterziehung vorbestraften Uli Hoeneß gegen  @dielinke  zeigt, dass er weiß, dass die #Vermögensteuer nur mit der LINKEN kommt, bei SPD und Grünen ist er eher sicher, dass sie nicht kommt.  @RTLde  #MachtdasLandgerecht #btw21 21 71 408",3
75,1:0 Kinsombi #nurderHSV 4,3
76,"„Wir wollen progressive Politik machen und ich bin zuversichtlich, dass wir eine entsprechende Regierung bilden können“, schließt  @NowaboFM  sein Interview bei RTL. Unter einem Bundeskanzler  @OlafScholz  wollen wir jetzt unser Zukunftsprogramm umsetzen. 2 11 81",1
77,"Unter den 53 Parteien, die zur Bundestagswahl zugelassen sind, ist natürlich die  @fdp  die beste. Aber wenn die nicht wäre, dann würde ich ein Auge auf Liste 38 werfen.  15 2 195",1
78,"""Was man mit Geld in Ordnung bringen kann, das werden wir mit Geld in Ordnung bringen"", das hat Bundesfinanzminister  @OlafScholz  bei seinen Besuchen in den Flutgebieten zugesichert. Heute bringen wir die 30-Milliarden-Euro-#Aufbauhilfe auf den Weg. 1. Lesung jetzt im #Bundestag. 10 10 61",1
79,"Auch den Menschen, die aus gesundheitlichen Gründen nicht geimpft werden können, sind wir verpflichtet. Neben einer EU-#Impfstrategie brauchen wir deshalb auch eine EU-#Therapiestrategie, um rasch Behandlungen und Arzneimittel zu entwickeln. #COVID19 #EU 4 8",3
80,Der Bundestag hat am Donnerstag die neue #Treibhausgas-Minderungsquote für den Verkehrsbereich beschlossen. Dazu ein Kurzinterview mit Oliver #Grundmann über #CO2-Einsparungen im Verkehr und die Zukunft des Verbrenners. #JetztZukunft cducsu.de Grundmann zu CO2-Einsparungen im Verkehr: „Es geht auch ohne Verbote“ Der Bundestag hat die neue Treibhausgas-Minderungsquote für den Verkehrsbereich beschlossen. Im Kurzinterview dazu der für das Thema zuständige Berichterstatter der CDU/CSU-Bundesta... 9 6 20,3
83,"Regierungserklärung von Herrn Spahn im Bundestag zeigt, dass Frage zu Impfstoffmengen mehr als berechtigt sind und sich (außer bei Rechtsradikalen)keineswegs gegen gemeinsame europäische Beschaffung richten. Infektionsgeschehen+ bedrückende Todeszahlen verlangen rasche Abhilfe! 8 2 7",2
85,"Es muss jetzt darum gehen, im konstruktiven Miteinander von Bund, Ländern und Kommunen die gefährliche dritte Infektionswelle zu überwinden und zeitnah aus der immensen Krise zu kommen. Dazu bedarf es auch der (bedrohlich schwindenden) Akzeptanz der Bevölkerung. 69 3 10",2
87,"Presseinfo @PeterWeissMdB : Positive Dynamik am Arbeitsmarkt setzt sich fort cducsu.de Positive Dynamik am Arbeitsmarkt setzt sich fort Zu den heute von der Bundesagentur für Arbeit für den Monat August 2021 bekannt gegebenen Arbeitsmarktdaten, erklärt der arbeitsmarkt- und sozialpolitische Sprecher der CDU/CSU-Bundestagsfrak... 7 2 7",1
88,"Irgendwann wird die Ampel auch über das reden müssen, was sie trennt u dann wird wohl klar: weder Mindestlohn- noch Steuererhöhungen werden kommen, Hartz4 Sanktionen bleiben, die Klimapolitik wird aus Mrd Subventionen für d Industrie bestehen, soziale Gerechtigkeit kommt nicht. phoenix @phoenix_de  · 6. Okt. 2021 Das Land kann sich keine lange Hängepartie leisten! Bei den #SondierungsGesprächen habe man über Gemeinsamkeiten und nicht über Trennendes geredet, sagt @abaerbock. Sie schlägt wegen der Gemeinsamkeiten ein Dreiergespräch zwischen  @diegruenen  @fdp und @spd_de vor. 13 40 130",2
89,"Sicher, klein und billig - China (und nicht Deutschland) baut den ersten Thorium-Reaktor | http://STERN.de stern.de Sicher, klein und billig – China baut den ersten Thorium-Reaktor Er ist nicht größer als ein Badezimmer. In China wird ein Thorium-Reaktor in Betrieb genommen. 2030 soll es zur Serienproduktion kommen – die Mini-Reaktoren versprechen CO2-freien Strom ohne die... 13 37 79",1
90,"Auf die  @Sabine_Baetzing  freue ich mich ganz besonders. Kommt doch mal rüber zu ihr: Instagram, Montag, 18 Uhr! Sabine Bätzing @Sabine_Baetzing  · 8. Jan. 2021 Freue mich am kommenden Montag auf mein #Instalive ""30 Minuten mit @MiRo_SPD ""!  Wird bestimmt ein interessantes Gespräch mit meinem ehemaligen Bundestagskollegen, dem jetzigen Staatsminister für Europa. Seid dabei auf https://instagram.com/sabine_baetzing/… 1 8",1
92,Ich halte die Aussage von #Kretschmann für großen Quatsch! Der Verhältnismäßigkeitsgrundsatz gehört zum unveränderlichen Kern des Rechtsstaats. Er unterliegt der sog. Ewigkeitsgarantie und entzieht sich damit einer Änderung des #GG. Hat Herr Kretschmann das nicht verstanden? 82 74 590,2
93,"Wie schaffen wir die Energiewende? Bundesweit und in #Göttingen! Ab 19:30 reden Doreen Fragel, Marie Kollenrott und ich als Spitzenkandidat*innen der Göttinger Grünen live auf YouTube. Hier geht's lang: https://youtube.com/watch?v=k-owlhjOkwQ&ab_channel=Gr%C3%BCneG%C3%B6ttingen…  @GrueneGoe  @Kollenrott youtube.com Grüner Salon ""Wie kann die Energiewende gelingen?"" - Jürgen Trittin,... Zum Stellen von Fragen einfach auf Sli.do gehen und den Code 74717 eingeben! Oder diesen Link aufrufen: https://app.sli.do/event/rwxhgnaa/live/questionsAm Di... 3 7 20",3
94,"""Familien stehen ohnehin unter Dauerdruck und Dauerstress, den Alltag zu meistern. [...] Es ist ein Lebenskampf, mit Unvorhergesehenem jeden Tag zurechtzukommen"", sagt  @EskenSaskia  vor der Auftaktklausur der SPD-Fraktion. 6 6 50",2
95,The perfect end of this day! #obamaleaders 13 2 161,1
96,"TV-Tipp: Heute um 22:25 Uhr ist  @c_lindner  zu Gast bei  @maybritillner  im  @zdf .  #illner #VielZuTun #btw21 maybrit illner @maybritillner  · 2. Sep. 2021 Die Gästeliste – #illner heute 22:25 ZDF ""Liberal oder sozial – was sichert Wohlstand für alle?""  Mehr Infos zu Gästen & Thema auf unserer Homepage http://kurz.zdf.de/c9eg/  @gaborsteingart @c_lindner @EskenSaskia @HenrikeRossbach #rotgrünrot #Ample #Scholz #BTW21 #FDP #SPD 3 5 49",3
